Year,Month ,Day,Hour,POSTCODE,Snow rating (out of 10)
2013,11,19,5,YO11,2
2013,11,19,5,PL17,1
2013,11,20,5,BL1,0
2013,11,20,11,SR2,2
2013,11,20,13,S63,1
2013,11,20,14,S1,2
2013,12,5,6,G3,3
2013,12,24,7,BD24,8
2014,2,11,12,BT70,5
2014,12,4,8,DL8,1
2014,12,7,13,SK17,3
2014,12,8,12,DE21,11
2014,12,10,10,NE61,9
2014,12,11,12,DH1,1
2014,12,11,1,SK17,3
2014,12,12,13,LL11,2
2014,12,26,8,SY56,11
2014,12,26,9,ST9,11
2014,12,26,9,CV7,11
2014,12,26,9,B74,11
2014,12,26,9,ST6,9
2014,12,26,9,LE17,11
2014,12,26,9,CV9,7
2014,12,26,9,B32,11
2014,12,26,9,LE9,4
2014,12,26,9,LE12,11
2014,12,26,9,LE4,4
2014,12,26,10,NN2,8
2014,12,26,10,NN3,4
2014,12,26,10,DE21,11
2014,12,26,10,DE22,8
2014,12,26,10,NN14,1
2014,12,26,10,WA3,7
2014,12,26,10,SK17,9
2014,12,26,10,DE21,5
2014,12,26,10,WN3,8
2014,12,26,10,NG31,10
2014,12,26,11,SK17,8
2014,12,26,11,S6,11
2014,12,26,11,S2,6
2014,12,26,11,NG9,4
2014,12,26,11,BB2,9
2014,12,26,11,LE65,4
2014,12,26,12,NG22,11
2014,12,26,12,PE14,3
2014,12,26,12,NR23,9
2014,12,26,12,S21,11
2014,12,26,12,LS28,6
2014,12,26,12,WF2,5
2014,12,26,13,DE12,7
2014,12,26,13,SK17,11
2014,12,26,13,OL13,10
2014,12,26,13,DL8,10
2014,12,26,14,BD22,8
2014,12,26,14,NG31,11
2014,12,26,14,NG31,6
2014,12,26,14,SK11,10
2014,12,26,15,HX1,11
2014,12,26,15,DN1,11
2014,12,26,15,S44,8
2014,12,26,15,YO23,11
2014,12,27,24,S21,11
2014,12,27,1,CM23,1
2014,12,27,8,DL8,10
2014,12,27,8,WR14,3
2014,12,27,9,LU3,3
2014,12,27,9,CB23,11
2014,12,27,9,S80,11
2014,12,27,10,CF37,1
2014,12,27,15,ST7,9
2014,12,29,11,AL5,4
