YEAR,MONTH,DAY,HOUR,POSTCODE,SNOW RATING
2013,11,19,5,YO11,2
2013,11,19,5,PL17,1
2013,11,20,5,BL1,1
2013,11,20,11,SR2,2
2013,11,20,13,S63,1
2013,11,20,14,S1,2
2013,12,5,6,G3,3
2013,12,24,7,BD24,8
2014,2,11,12,BT70,5
2014,12,4,8,DL8,1
2014,12,7,13,SK17,3
2014,12,8,12,DE21,11
2014,12,10,10,NE61,9
2014,12,11,1,SK17,3
2014,12,11,12,DH1,1
2014,12,12,13,LL11,2
2014,12,26,8,SY56,11
2014,12,26,9,ST9,11
2014,12,26,9,CV7,11
2014,12,26,9,B74,11
2014,12,26,9,ST6,9
2014,12,26,9,LE17,11
2014,12,26,9,CV9,7
2014,12,26,9,B32,11
2014,12,26,9,LE9,4
2014,12,26,9,LE12,11
2014,12,26,9,LE4,4
2014,12,26,10,NN2,8
2014,12,26,10,NN3,4
2014,12,26,10,DE21,11
2014,12,26,10,DE22,8
2014,12,26,10,NN14,1
2014,12,26,10,WA3,7
2014,12,26,10,SK17,9
2014,12,26,10,DE21,5
2014,12,26,10,WN3,8
2014,12,26,10,NG31,10
2014,12,26,11,SK17,8
2014,12,26,11,S6,11
2014,12,26,11,S2,6
2014,12,26,11,NG9,4
2014,12,26,11,BB2,9
2014,12,26,11,LE65,4
2014,12,26,12,NG22,11
2014,12,26,12,PE14,3
2014,12,26,12,NR23,9
2014,12,26,12,S21,11
2014,12,26,12,LS28,6
2014,12,26,12,WF2,5
2014,12,26,13,DE12,7
2014,12,26,13,SK17,11
2014,12,26,13,OL13,10
2014,12,26,13,DL8,10
2014,12,26,14,BD22,8
2014,12,26,14,NG31,11
2014,12,26,14,NG31,6
2014,12,26,14,SK11,10
2014,12,26,15,HX1,11
2014,12,26,15,DN1,11
2014,12,26,15,S44,8
2014,12,26,15,YO23,11
2014,12,27,1,CM23,1
2014,12,27,8,DL8,10
2014,12,27,8,WR14,3
2014,12,27,9,LU3,3
2014,12,27,9,CB23,11
2014,12,27,9,S80,11
2014,12,27,10,CF37,1
2014,12,27,15,ST7,9
2014,12,27,24,S21,11
2014,12,29,11,AL5,4
2015,1,10,8,DL8,10
2015,1,13,3,WR10,10
2015,1,13,4,WV11,2
2015,1,13,6,NG33,5
2015,1,13,11,ST14,1
2015,1,13,13,NE46,5
2015,1,13,13,LS16,11
2015,1,13,13,B14,1
2015,1,13,16,PE31,2
2015,1,13,16,PL14,11
2015,1,13,23,LL11,1
2015,1,14,24,SN8,11
2015,1,14,24,BA15,1
2015,1,16,1,LA2,4
2015,1,16,11,BD24,11
2015,1,16,12,OX3,6
2015,1,16,12,GL7,11
2015,1,16,22,SY18,11
2015,1,17,1,AL3,11
2015,1,17,1,HP13,1
2015,1,17,2,CB9,1
2015,1,17,2,NW3,1
2015,1,17,2,HP5,6
2015,1,17,3,SE21,1
2015,1,17,3,IP20,3
2015,1,17,7,DN7,5
2015,1,18,1,NE19,11
2015,1,18,2,DL2,5
2015,1,18,3,LA2,2
2015,1,18,6,DH1,4
2015,1,19,10,PR6,11
2015,1,19,23,BN7,7
2015,1,20,1,TN25,1
2015,1,20,1,TN17,3
2015,1,20,2,DA2,1
2015,1,20,12,HG1,7
2015,1,21,1,CM24,1
2015,1,21,2,CM23,1
2015,1,21,8,BD13,5
2015,1,28,14,DN17,7
2015,1,28,14,HD1,2
2015,1,28,15,SP2,2
2015,1,28,15,TS7,8
2015,1,28,16,G12,8
2015,1,28,22,DL8,2
2015,1,28,22,BT44,5
2015,1,28,23,DL8,2
2015,1,28,23,DE14,1
2015,1,28,24,DL8,3
2015,1,29,1,BD7,8
2015,1,29,1,G77,7
2015,1,29,1,S20,10
2015,1,29,1,M21,1
2015,1,29,1,OL5,9
2015,1,29,2,LS1,1
2015,1,29,2,BD10,7
2015,1,29,2,S2,4
2015,1,29,3,S36,6
2015,1,29,3,S36,5
2015,1,29,4,NG34,7
2015,1,29,4,TF3,1
2015,1,29,4,WV3,1
2015,1,29,5,TF3,7
2015,1,29,5,CV22,6
2015,1,29,5,WV3,2
2015,1,29,6,MK15,1
2015,1,29,6,MK43,1
2015,1,29,6,PE1,1
2015,1,29,6,WF1,1
2015,1,29,6,SA7,1
2015,1,29,6,LE15,6
2015,1,29,6,LE15,3
2015,1,29,6,NN8,1
2015,1,29,6,WV3,9
2015,1,29,7,NR15,2
2015,1,29,7,MK18,1
2015,1,29,7,KT2,3
2015,1,29,7,ST19,10
2015,1,29,7,OX11,3
2015,1,29,7,MK18,7
2015,1,29,7,MK12,5
2015,1,29,7,BH24,2
2015,1,29,8,LE10,8
2015,1,29,8,BA2,1
2015,1,29,8,RH4,6
2015,1,29,8,GU11,1
2015,1,29,8,BS1,1
2015,1,29,8,BS1,1
2015,1,29,8,CM23,2
2015,1,29,8,BA3,5
2015,1,29,8,SG14,8
2015,1,29,8,HP23,4
2015,1,29,8,BD1,7
2015,1,29,8,BR1,1
2015,1,29,9,TN17,5
2015,1,29,9,HD1,5
2015,1,29,9,RH11,2
2015,1,29,9,RH4,1
2015,1,29,9,BH15,1
2015,1,29,9,WC2,2
2015,1,29,9,BH11,1
2015,1,29,9,CR5,3
2015,1,29,9,EN4,3
2015,1,29,9,BA15,1
2015,1,29,10,PO14,2
2015,1,29,11,WR10,1
2015,1,29,11,WR11,6
2015,1,29,11,M90,5
2015,1,29,11,CM23,4
2015,1,29,12,LE4,4
2015,1,29,12,LE4,3
2015,1,29,13,SS9,2
2015,1,29,14,CM1,6
2015,1,29,15,SL3,1
2015,1,29,15,SW16,1
2015,1,29,16,M24,7
2015,1,29,16,SE6,1
2015,1,29,16,M16,2
2015,1,29,16,BN12,3
2015,1,29,18,M22,2
2015,1,29,24,LD3,1
2015,1,29,24,NE23,1
2015,1,29,24,S73,2
2015,1,29,24,M1,1
2015,1,30,12,SK13,5
2015,2,2,8,DN35,6
2015,2,2,11,GU4,7
2015,2,2,14,WR10,1
2015,2,2,14,PE29,3
2015,2,2,14,OX2,4
2015,2,2,15,GL14,1
2015,2,2,15,PE12,2
2015,2,2,15,PE11,1
2015,2,2,15,OX1,5
2015,2,2,17,N21,2
2015,2,2,21,S030,6
2015,2,2,21,PO33,2
2015,2,2,21,DA10,1
2015,2,2,22,PO5,3
2015,2,2,22,RH6,11
2015,2,2,22,DA11,1
2015,2,2,22,BH1,3
2015,2,2,23,TN14,1
2015,2,2,23,TR26,11
2015,2,3,2,SW2,2
2015,2,3,2,IP29,6
2015,2,3,12,NW6,11
2015,2,3,12,SG18,12
2015,2,3,12,RH15,1
2015,2,3,15,SR4,11
2015,2,4,23,TN14,2
2015,2,5,1,PO14,11
2015,2,5,7,CO15,7
2015,2,5,24,ME7,1
2015,2,21,7,BA15,1
2015,2,22,4,BD24,6
2015,2,22,24,DL85,11
2015,2,23,1,DL84,11
2015,2,23,2,DL83 ,11
2015,2,23,4,OX14,1
2015,2,28,14,DL83 ,5
2015,2,28,15,DL83 ,5
2015,2,28,16,DL83,5
2015,2,28,17,DL83,5
2015,2,28,18,DL83,5
2015,2,28,19,DL83,5
2015,2,28,20,DL83,5
2015,2,28,21,DL83,5
2015,2,28,22,DL83,5
2015,2,28,23,DL83,5
2015,2,28,24,DL83,5
2015,3,1,1,DL83,5
2015,3,1,2,DL83,5
2015,3,1,3,DL83,5
2015,3,1,4,DL83,5
2015,3,1,5,DL83,5
2015,3,1,6,DL83,5
2015,3,1,7,DL83,5
2015,3,1,8,DL83,5
2015,3,1,9,DL83,5
2015,3,1,10,DL83,5
2015,3,1,11,DL83,5
2015,3,1,12,DL83,5
2015,3,1,13,DL83,5
2015,3,1,14,DL83,5
2015,3,1,15,DL83,5
2015,3,1,16,DL83,5
2015,3,1,17,DL83,5
2015,3,1,18,DL83,5
2015,3,1,19,DL83,5
2015,3,1,20,DL83,5
2015,3,1,21,DL83,5
2015,3,1,22,DL83,5
2015,3,2,1,S73,11
2015,3,26,12,BD10,1
2015,4,27,23,OL3,2
2015,11,18,12,BT26,2
2015,11,20,12,OL1,3
2015,11,20,14,BT26,5
2015,11,21,1,BN21,11
2015,11,21,1,ME15,11
2015,11,21,1,ME16,6
2015,11,21,1,TN35,3
2015,11,21,1,BN21,5
2015,11,21,1,BN41,3
2015,11,21,24,SM3,3
2015,11,21,24,EN9,11
2015,11,21,24,W4,1
2015,12,12,2,BD24,3
2015,12,12,5,DH4,11
2015,12,12,5,NE4,4
2015,12,12,6,NE34,4
2015,12,12,6,DH4,11
